timestamp,cycle_time,throughput,robot_distance,idle_time,reward,status
1774800885.0425467,1.89,1908.6,0.455,0.0,N/A,Painting
1774800885.0468616,1.89,1904.3,0.455,0.0,N/A,Painting
1774800885.051174,1.89,1900.0,0.456,0.0,N/A,Painting
1774800885.0554745,1.9,1895.6,0.456,0.0,N/A,Painting
1774800885.0597966,1.9,1891.3,0.456,0.0,N/A,Painting
1774800885.0641527,1.91,1887.0,0.456,0.0,N/A,Painting
1774800885.0684648,1.91,1882.8,0.456,0.0,N/A,Painting
1774800885.0727742,1.92,1878.5,0.456,0.0,N/A,Painting
1774800885.0770795,1.92,1874.3,0.457,0.0,N/A,Painting
1774800885.0813947,1.93,1870.1,0.457,0.0,N/A,Painting
1774800885.085731,1.93,1865.9,0.457,0.0,N/A,Painting
1774800885.0900311,1.93,1861.8,0.457,0.0,N/A,Painting
1774800885.0943456,1.94,1857.6,0.457,0.0,N/A,Painting
1774800885.098698,1.94,1853.5,0.458,0.0,N/A,Painting
1774800885.1030092,1.95,1849.4,0.458,0.0,N/A,Painting
1774800885.1073349,1.95,1845.3,0.458,0.0,N/A,Painting
1774800885.111652,1.96,1841.2,0.458,0.0,N/A,Painting
1774800885.1159604,1.96,1837.1,0.459,0.0,N/A,Painting
1774800885.12028,1.96,1833.1,0.459,0.0,N/A,Painting
1774800885.124537,1.97,1829.1,0.459,0.0,N/A,Painting
1774800885.1288407,1.97,1825.1,0.459,0.0,N/A,Painting
1774800885.1331413,1.98,1821.2,0.46,0.0,N/A,Painting
1774800885.1374347,1.98,1817.2,0.46,0.0,N/A,Painting
1774800885.1417468,1.99,1813.3,0.46,0.0,N/A,Painting
1774800885.1460564,1.99,1809.3,0.461,0.0,N/A,Painting
1774800885.150391,1.99,1805.4,0.461,0.0,N/A,Painting
1774800885.1547604,2.0,1801.5,0.461,0.0,N/A,Painting
1774800885.159093,2.0,1797.6,0.462,0.0,N/A,Painting
1774800885.1634357,2.01,1793.7,0.462,0.0,N/A,Painting
1774800885.1678143,2.01,1789.8,0.462,0.0,N/A,Painting
1774800885.172176,2.02,1785.9,0.463,0.0,N/A,Painting
1774800885.1765318,2.02,1782.1,0.463,0.0,N/A,Painting
1774800885.180869,2.02,1778.2,0.464,0.0,N/A,Painting
1774800885.1851947,2.03,1774.4,0.464,0.0,N/A,Painting
1774800885.1895378,2.03,1770.7,0.464,0.0,N/A,Painting
1774800885.1938417,2.04,1766.9,0.465,0.0,N/A,Painting
1774800885.1981578,2.04,1763.2,0.465,0.0,N/A,Painting
1774800885.2024841,2.05,1759.4,0.466,0.0,N/A,Painting
1774800885.2068176,2.05,1755.7,0.466,0.0,N/A,Painting
1774800885.2111623,2.05,1752.0,0.467,0.0,N/A,Painting
1774800885.2155175,2.06,1748.3,0.467,0.0,N/A,Painting
1774800885.2198694,2.06,1744.6,0.467,0.0,N/A,Painting
1774800885.2242944,2.07,1740.9,0.468,0.0,N/A,Painting
1774800885.2286525,2.07,1737.2,0.468,0.0,N/A,Painting
1774800885.233002,2.08,1733.6,0.469,0.0,N/A,Painting
1774800885.2373717,2.08,1730.0,0.469,0.0,N/A,Painting
1774800885.2417,2.09,1726.4,0.47,0.0,N/A,Painting
1774800885.2460263,2.09,1722.8,0.47,0.0,N/A,Painting
1774800885.2503488,2.09,1719.2,0.471,0.0,N/A,Painting
1774800885.254657,2.1,1715.7,0.471,0.0,N/A,Painting
1774800885.2590008,2.1,1712.2,0.472,0.0,N/A,Painting
1774800885.263313,2.11,1708.7,0.472,0.0,N/A,Painting
1774800885.267629,2.11,1705.2,0.473,0.0,N/A,Painting
1774800885.271948,2.12,1701.7,0.474,0.0,N/A,Painting
1774800885.276266,2.12,1698.2,0.474,0.0,N/A,Painting
1774800885.2805629,2.12,1694.8,0.475,0.0,N/A,Painting
1774800885.2848756,2.13,1691.3,0.475,0.0,N/A,Painting
1774800885.2891896,2.13,1687.9,0.476,0.0,N/A,Painting
1774800885.2935433,2.14,1684.5,0.476,0.0,N/A,Painting
1774800885.2978463,2.14,1681.1,0.477,0.0,N/A,Painting
1774800885.302151,2.15,1677.7,0.478,0.0,N/A,Painting
1774800885.3064609,2.15,1674.4,0.478,0.0,N/A,Painting
1774800885.3107708,2.15,1671.0,0.479,0.0,N/A,Painting
1774800885.3150887,2.16,1667.7,0.479,0.0,N/A,Painting
1774800885.31939,2.16,1664.4,0.48,0.0,N/A,Painting
1774800885.3236997,2.17,1661.0,0.481,0.0,N/A,Painting
1774800885.3280427,2.17,1657.7,0.481,0.0,N/A,Painting
1774800885.3323524,2.18,1654.4,0.482,0.0,N/A,Painting
1774800885.3366559,2.18,1651.2,0.483,0.0,N/A,Painting
1774800885.3409574,2.18,1647.9,0.483,0.0,N/A,Painting
1774800885.3452847,2.19,1644.7,0.484,0.0,N/A,Painting
1774800885.3497045,2.19,1641.4,0.485,0.0,N/A,Painting
1774800885.3541458,2.2,1638.0,0.485,0.0,N/A,Painting
1774800885.3585303,2.2,1634.8,0.486,0.0,N/A,Painting
1774800885.3628867,2.21,1631.5,0.487,0.0,N/A,Painting
1774800885.3672256,2.21,1628.3,0.488,0.0,N/A,Painting
1774800885.3715615,2.22,1625.2,0.488,0.0,N/A,Painting
1774800885.3758824,2.22,1622.0,0.489,0.0,N/A,Painting
1774800885.3802004,2.22,1618.8,0.49,0.0,N/A,Painting
1774800885.3845313,2.23,1615.7,0.49,0.0,N/A,Painting
1774800885.3888521,2.23,1612.6,0.491,0.0,N/A,Painting
1774800885.3931599,2.24,1609.5,0.492,0.0,N/A,Painting
1774800885.3974721,2.24,1606.4,0.493,0.0,N/A,Painting
1774800885.4017813,2.25,1603.3,0.494,0.0,N/A,Painting
1774800885.406103,2.25,1600.2,0.494,0.0,N/A,Painting
1774800885.4104142,2.25,1597.1,0.495,0.0,N/A,Painting
1774800885.4147246,2.26,1594.1,0.496,0.0,N/A,Painting
1774800885.419042,2.26,1591.1,0.497,0.0,N/A,Painting
1774800885.4233372,2.27,1588.0,0.497,0.0,N/A,Painting
1774800885.4276485,2.27,1585.0,0.498,0.0,N/A,Painting
1774800885.4319918,2.28,1582.0,0.499,0.0,N/A,Painting
1774800885.436294,2.28,1579.0,0.5,0.0,N/A,Painting
1774800885.4405775,2.28,1576.1,0.501,0.0,N/A,Painting
1774800885.4448886,2.29,1573.1,0.502,0.0,N/A,Painting
1774800885.449207,2.29,1570.1,0.502,0.0,N/A,Painting
1774800885.4535704,2.3,1567.1,0.503,0.0,N/A,Painting
1774800885.4578822,2.3,1564.2,0.504,0.0,N/A,Painting
1774800885.4622176,2.31,1561.3,0.505,0.0,N/A,Painting
1774800885.4665794,2.31,1558.3,0.506,0.0,N/A,Painting
1774800885.470887,2.31,1555.4,0.507,0.0,N/A,Painting
1774800885.475208,2.32,1552.5,0.508,0.0,N/A,Painting
1774800885.4795318,2.32,1549.6,0.508,0.0,N/A,Painting
1774800885.483846,2.33,1546.8,0.509,0.0,N/A,Painting
1774800885.4882085,2.33,1543.9,0.51,0.0,N/A,Painting
1774800885.4925284,2.34,1541.0,0.511,0.0,N/A,Painting
1774800885.4968526,2.34,1538.2,0.512,0.0,N/A,Painting
1774800885.5012164,2.34,1535.3,0.513,0.0,N/A,Painting
1774800885.505546,2.35,1532.5,0.514,0.0,N/A,Painting
1774800885.5098739,2.35,1529.6,0.515,0.0,N/A,Painting
1774800885.514187,2.36,1526.8,0.516,0.0,N/A,Painting
1774800885.5185094,2.36,1524.1,0.517,0.0,N/A,Painting
1774800885.522854,2.37,1521.3,0.518,0.0,N/A,Painting
1774800885.5271723,2.37,1518.5,0.519,0.0,N/A,Painting
1774800885.531492,2.38,1515.7,0.519,0.0,N/A,Painting
1774800885.535875,2.38,1512.9,0.52,0.0,N/A,Painting
1774800885.540188,2.38,1510.2,0.521,0.0,N/A,Painting
1774800885.5445423,2.39,1507.4,0.522,0.0,N/A,Painting
1774800885.548887,2.39,1504.7,0.523,0.0,N/A,Painting
1774800885.553223,2.4,1502.0,0.524,0.0,N/A,Painting
1774800885.5576038,2.4,1499.2,0.525,0.0,N/A,Painting
1774800885.5619223,2.41,1496.5,0.526,0.0,N/A,Painting
1774800885.5662377,2.41,1493.9,0.527,0.0,N/A,Painting
1774800885.5705664,2.41,1491.2,0.528,0.0,N/A,Painting
1774800885.5749047,2.42,1488.5,0.529,0.0,N/A,Painting
1774800885.5792441,2.42,1485.9,0.53,0.0,N/A,Painting
1774800885.583561,2.43,1483.2,0.531,0.0,N/A,Painting
1774800885.587876,2.43,1480.6,0.532,0.0,N/A,Painting
1774800885.5922403,2.44,1477.9,0.533,0.0,N/A,Painting
1774800885.5965533,2.44,1475.3,0.534,0.0,N/A,Painting
1774800885.6008832,2.44,1472.7,0.535,0.0,N/A,Painting
1774800885.6052148,2.45,1470.1,0.537,0.0,N/A,Painting
1774800885.609549,2.45,1467.5,0.538,0.0,N/A,Painting
1774800885.6138752,2.46,1464.9,0.539,0.0,N/A,Painting
1774800885.6181798,2.46,1462.4,0.54,0.0,N/A,Painting
1774800885.622498,2.47,1459.8,0.541,0.0,N/A,Painting
1774800885.626882,2.47,1457.2,0.542,0.0,N/A,Painting
1774800885.6312015,2.47,1454.7,0.543,0.0,N/A,Painting
1774800885.6355333,2.48,1452.1,0.544,0.0,N/A,Painting
1774800885.639872,2.48,1449.6,0.545,0.0,N/A,Painting
1774800885.6442013,2.49,1447.1,0.546,0.0,N/A,Painting
1774800885.64855,2.49,1444.5,0.547,0.0,N/A,Painting
1774800885.652875,2.5,1442.0,0.548,0.0,N/A,Painting
1774800885.657201,2.5,1439.5,0.549,0.0,N/A,Painting
1774800885.6617074,2.51,1436.9,0.551,0.0,N/A,Painting
1774800885.6660461,2.51,1434.5,0.552,0.0,N/A,Painting
1774800885.670361,2.51,1432.0,0.553,0.0,N/A,Painting
1774800885.6746752,2.52,1429.5,0.554,0.0,N/A,Painting
1774800885.678987,2.52,1427.1,0.555,0.0,N/A,Painting
1774800885.683301,2.53,1424.7,0.556,0.0,N/A,Painting
1774800885.687601,2.53,1422.2,0.557,0.0,N/A,Painting
1774800885.6919084,2.54,1419.8,0.558,0.0,N/A,Painting
1774800885.69624,2.54,1417.4,0.56,0.0,N/A,Painting
1774800885.7005563,2.54,1415.0,0.561,0.0,N/A,Painting
1774800885.7048843,2.55,1412.6,0.562,0.0,N/A,Painting
1774800885.7092156,2.55,1410.2,0.563,0.0,N/A,Painting
1774800885.7135255,2.56,1407.8,0.564,0.0,N/A,Painting
1774800885.7178438,2.56,1405.5,0.565,0.0,N/A,Painting
1774800885.7221608,2.57,1403.1,0.566,0.0,N/A,Painting
1774800885.7264724,2.57,1400.7,0.568,0.0,N/A,Painting
1774800885.7307956,2.57,1398.4,0.569,0.0,N/A,Painting
1774800885.7351074,2.58,1396.0,0.57,0.0,N/A,Painting
1774800885.7394216,2.58,1393.7,0.571,0.0,N/A,Painting
1774800885.7437346,2.59,1391.4,0.572,0.0,N/A,Painting
1774800885.74808,2.59,1389.1,0.573,0.0,N/A,Painting
1774800885.752547,2.6,1386.7,0.575,0.0,N/A,Painting
1774800885.7569177,2.6,1384.3,0.576,0.0,N/A,Painting
1774800885.7612453,2.6,1382.0,0.577,0.0,N/A,Painting
1774800885.7655997,2.61,1379.7,0.578,0.0,N/A,Painting
1774800885.7699165,2.61,1377.4,0.579,0.0,N/A,Painting
1774800885.774237,2.62,1375.2,0.581,0.0,N/A,Painting
1774800885.7785728,2.62,1372.9,0.582,0.0,N/A,Painting
1774800885.782887,2.63,1370.6,0.583,0.0,N/A,Painting
1774800885.787215,2.63,1368.4,0.584,0.0,N/A,Painting
1774800885.791531,2.64,1366.2,0.585,0.0,N/A,Painting
1774800885.795854,2.64,1363.9,0.587,0.0,N/A,Painting
1774800885.8001866,2.64,1361.7,0.588,0.0,N/A,Painting
1774800885.804498,2.65,1359.5,0.589,0.0,N/A,Painting
1774800885.8088298,2.65,1357.2,0.59,0.0,N/A,Painting
1774800885.8131387,2.66,1355.0,0.592,0.0,N/A,Painting
1774800885.817443,2.66,1352.8,0.593,0.0,N/A,Painting
1774800885.821779,2.67,1350.6,0.594,0.0,N/A,Painting
1774800885.8260927,2.67,1348.5,0.595,0.0,N/A,Painting
1774800885.830409,2.67,1346.3,0.597,0.0,N/A,Painting
1774800885.8347635,2.68,1344.1,0.598,0.0,N/A,Painting
1774800885.8390756,2.68,1341.9,0.599,0.0,N/A,Painting
1774800885.8433945,2.69,1339.8,0.6,0.0,N/A,Painting
1774800885.8477142,2.69,1337.6,0.601,0.0,N/A,Painting
1774800885.8520248,2.7,1335.5,0.603,0.0,N/A,Painting
1774800885.8563695,2.7,1333.3,0.604,0.0,N/A,Painting
1774800885.8606834,2.7,1331.2,0.605,0.0,N/A,Painting
1774800885.865033,2.71,1329.1,0.606,0.0,N/A,Painting
1774800885.8694167,2.71,1326.9,0.608,0.0,N/A,Painting
1774800885.87374,2.72,1324.8,0.609,0.0,N/A,Painting
1774800885.8780804,2.72,1322.7,0.61,0.0,N/A,Painting
1774800885.8824124,2.73,1320.6,0.612,0.0,N/A,Painting
1774800885.8867285,2.73,1318.5,0.613,0.0,N/A,Painting
1774800885.8910825,2.73,1316.4,0.614,0.0,N/A,Painting
1774800885.895397,2.74,1314.3,0.615,0.0,N/A,Painting
1774800885.8997183,2.74,1312.3,0.617,0.0,N/A,Painting
1774800885.9040382,2.75,1310.2,0.618,0.0,N/A,Painting
1774800885.9083467,2.75,1308.2,0.619,0.0,N/A,Painting
1774800885.9126644,2.76,1306.1,0.62,0.0,N/A,Painting
1774800885.916987,2.76,1304.1,0.622,0.0,N/A,Painting
