timestamp,workpiece_x,status,cycle_time
1774795029.9641745,-2.01,Assembly,0.72
1774795029.9684932,-2.008,Assembly,0.73
1774795029.972844,-2.006,Assembly,0.73
1774795029.977191,-2.004,Assembly,0.74
1774795029.9815602,-2.002,Assembly,0.74
1774795029.9859123,-2.0,Assembly,0.75
1774795029.990261,-1.998,Assembly,0.75
1774795029.994617,-1.996,Assembly,0.75
1774795029.9989362,-1.994,Assembly,0.76
1774795030.003267,-1.992,Assembly,0.76
1774795030.0075693,-1.99,Assembly,0.77
1774795030.0118864,-1.988,Assembly,0.77
1774795030.0162182,-1.986,Assembly,0.78
1774795030.0205433,-1.984,Assembly,0.78
1774795030.0248675,-1.982,Assembly,0.79
1774795030.029183,-1.98,Assembly,0.79
1774795030.0334868,-1.978,Assembly,0.79
1774795030.0378165,-1.976,Assembly,0.8
1774795030.0421374,-1.974,Assembly,0.8
1774795030.04652,-1.972,Assembly,0.81
1774795030.0508301,-1.97,Assembly,0.81
1774795030.0551567,-1.968,Assembly,0.82
1774795030.0595415,-1.966,Assembly,0.82
1774795030.0638885,-1.964,Assembly,0.82
1774795030.068251,-1.962,Assembly,0.83
1774795030.0726106,-1.96,Assembly,0.83
1774795030.076926,-1.958,Assembly,0.84
1774795030.0812597,-1.956,Assembly,0.84
1774795030.0856216,-1.954,Assembly,0.85
1774795030.089929,-1.952,Assembly,0.85
1774795030.094257,-1.95,Assembly,0.85
1774795030.0985844,-1.948,Assembly,0.86
1774795030.1028965,-1.946,Assembly,0.86
1774795030.1072326,-1.944,Assembly,0.87
1774795030.1116076,-1.942,Assembly,0.87
1774795030.1159444,-1.94,Assembly,0.88
1774795030.1231875,-1.938,Assembly,0.88
1774795030.1274905,-1.936,Assembly,0.89
1774795030.1318793,-1.934,Assembly,0.89
1774795030.1361911,-1.932,Assembly,0.9
1774795030.1404982,-1.93,Assembly,0.9
1774795030.144838,-1.928,Assembly,0.91
1774795030.149154,-1.926,Assembly,0.91
1774795030.1534698,-1.924,Assembly,0.91
1774795030.1577873,-1.922,Assembly,0.92
1774795030.16212,-1.92,Assembly,0.92
1774795030.1664383,-1.918,Assembly,0.93
1774795030.170754,-1.916,Assembly,0.93
1774795030.1750824,-1.914,Assembly,0.94
1774795030.1794362,-1.912,Assembly,0.94
1774795030.183747,-1.91,Assembly,0.94
1774795030.1880994,-1.908,Assembly,0.95
1774795030.1924093,-1.906,Assembly,0.95
1774795030.1967537,-1.904,Assembly,0.96
1774795030.2010782,-1.902,Assembly,0.96
1774795030.205397,-1.9,Assembly,0.97
1774795030.2097237,-1.898,Assembly,0.97
1774795030.214056,-1.896,Assembly,0.97
1774795030.2184718,-1.894,Assembly,0.98
1774795030.2228508,-1.892,Assembly,0.98
1774795030.2271729,-1.89,Assembly,0.99
1774795030.2314513,-1.888,Assembly,0.99
1774795030.2358258,-1.886,Assembly,1.0
1774795030.2401917,-1.884,Assembly,1.0
1774795030.244483,-1.882,Assembly,1.0
1774795030.2488837,-1.88,Assembly,1.01
1774795030.253217,-1.878,Assembly,1.01
1774795030.257571,-1.876,Assembly,1.02
1774795030.2619097,-1.874,Assembly,1.02
1774795030.2661974,-1.872,Assembly,1.03
1774795030.270474,-1.87,Assembly,1.03
1774795030.2748325,-1.868,Assembly,1.04
1774795030.2791722,-1.866,Assembly,1.04
1774795030.2834675,-1.864,Assembly,1.04
1774795030.2878275,-1.862,Assembly,1.05
1774795030.2921686,-1.86,Assembly,1.05
1774795030.2964902,-1.858,Assembly,1.06
1774795030.3008053,-1.856,Assembly,1.06
1774795030.305117,-1.854,Assembly,1.07
1774795030.3094409,-1.852,Assembly,1.07
1774795030.3137789,-1.85,Assembly,1.07
1774795030.318125,-1.848,Assembly,1.08
1774795030.322447,-1.846,Assembly,1.08
1774795030.326768,-1.844,Assembly,1.09
1774795030.331098,-1.842,Assembly,1.09
1774795030.3354332,-1.84,Assembly,1.1
1774795030.3397827,-1.838,Assembly,1.1
1774795030.3440974,-1.836,Assembly,1.1
1774795030.3483899,-1.834,Assembly,1.11
1774795030.3527062,-1.832,Assembly,1.11
1774795030.3570194,-1.83,Assembly,1.12
1774795030.3613272,-1.828,Assembly,1.12
1774795030.3656332,-1.826,Assembly,1.13
1774795030.369952,-1.824,Assembly,1.13
1774795030.3742912,-1.822,Assembly,1.13
1774795030.378656,-1.82,Assembly,1.14
1774795030.3829644,-1.818,Assembly,1.14
1774795030.3873327,-1.816,Assembly,1.15
1774795030.3916643,-1.814,Assembly,1.15
1774795030.3959773,-1.812,Assembly,1.16
1774795030.4003062,-1.81,Assembly,1.16
1774795030.4046102,-1.808,Assembly,1.16
1774795030.4089577,-1.806,Assembly,1.17
1774795030.4132764,-1.804,Assembly,1.17
1774795030.417585,-1.802,Assembly,1.18
1774795030.42191,-1.8,Assembly,1.18
1774795030.4262493,-1.798,Assembly,1.19
1774795030.4305673,-1.796,Assembly,1.19
1774795030.4348798,-1.794,Assembly,1.2
1774795030.439194,-1.792,Assembly,1.2
1774795030.4434652,-1.79,Assembly,1.2
1774795030.4478319,-1.788,Assembly,1.21
1774795030.452151,-1.786,Assembly,1.21
1774795030.4564505,-1.784,Assembly,1.22
1774795030.460797,-1.782,Assembly,1.22
1774795030.4651334,-1.78,Assembly,1.23
1774795030.4694548,-1.778,Assembly,1.23
1774795030.4738266,-1.776,Assembly,1.23
1774795030.478186,-1.774,Assembly,1.24
1774795030.4824817,-1.772,Assembly,1.24
1774795030.4868407,-1.77,Assembly,1.25
1774795030.4911928,-1.768,Assembly,1.25
1774795030.4954476,-1.766,Assembly,1.26
1774795030.4997919,-1.764,Assembly,1.26
1774795030.5041046,-1.762,Assembly,1.26
1774795030.508453,-1.76,Assembly,1.27
1774795030.5128305,-1.758,Assembly,1.27
1774795030.5171528,-1.756,Assembly,1.28
1774795030.5214608,-1.754,Assembly,1.28
1774795030.5257978,-1.752,Assembly,1.29
1774795030.5301383,-1.75,Assembly,1.29
1774795030.5345132,-1.748,Assembly,1.29
1774795030.5388253,-1.746,Assembly,1.3
1774795030.5431194,-1.744,Assembly,1.3
1774795030.5474672,-1.742,Assembly,1.31
1774795030.5518074,-1.74,Assembly,1.31
1774795030.5602915,-1.738,Assembly,1.32
1774795030.5646462,-1.736,Assembly,1.32
1774795030.5689793,-1.734,Assembly,1.33
1774795030.5733204,-1.732,Assembly,1.33
1774795030.577636,-1.73,Assembly,1.34
1774795030.581983,-1.728,Assembly,1.34
1774795030.5863276,-1.726,Assembly,1.35
1774795030.5906458,-1.724,Assembly,1.35
1774795030.594952,-1.722,Assembly,1.36
1774795030.5992556,-1.72,Assembly,1.36
1774795030.603556,-1.718,Assembly,1.36
1774795030.6078951,-1.716,Assembly,1.37
1774795030.6122072,-1.714,Assembly,1.37
1774795030.61654,-1.712,Assembly,1.38
1774795030.620865,-1.71,Assembly,1.38
1774795030.6251812,-1.708,Assembly,1.39
1774795030.6295047,-1.706,Assembly,1.39
1774795030.6338124,-1.704,Assembly,1.39
1774795030.6381185,-1.702,Assembly,1.4
1774795030.6424794,-1.7,Assembly,1.4
1774795030.6468337,-1.698,Moving on Conveyor,1.41
1774795030.651181,-1.683,Moving on Conveyor,1.41
1774795030.655571,-1.668,Moving on Conveyor,1.42
1774795030.659883,-1.653,Moving on Conveyor,1.42
1774795030.6641784,-1.638,Moving on Conveyor,1.42
1774795030.6684635,-1.623,Moving on Conveyor,1.43
1774795030.672788,-1.608,Moving on Conveyor,1.43
1774795030.6771064,-1.593,Moving on Conveyor,1.44
1774795030.681439,-1.578,Moving on Conveyor,1.44
1774795030.685793,-1.563,Moving on Conveyor,1.45
1774795030.6901503,-1.548,Moving on Conveyor,1.45
1774795030.69451,-1.533,Moving on Conveyor,1.45
1774795030.6988304,-1.518,Moving on Conveyor,1.46
1774795030.7031617,-1.503,Moving on Conveyor,1.46
1774795030.7074718,-1.488,Moving on Conveyor,1.47
1774795030.7118208,-1.473,Moving on Conveyor,1.47
1774795030.7161412,-1.458,Moving on Conveyor,1.48
1774795030.7204802,-1.443,Moving on Conveyor,1.48
1774795030.724818,-1.428,Moving on Conveyor,1.49
1774795030.72918,-1.413,Moving on Conveyor,1.49
1774795030.7335465,-1.398,Moving on Conveyor,1.49
1774795030.7379055,-1.383,Moving on Conveyor,1.5
1774795030.7422497,-1.368,Moving on Conveyor,1.5
1774795030.7466264,-1.353,Moving on Conveyor,1.51
1774795030.7509954,-1.338,Moving on Conveyor,1.51
1774795030.7553377,-1.323,Moving on Conveyor,1.52
1774795030.7597156,-1.308,Moving on Conveyor,1.52
1774795030.764083,-1.293,Moving on Conveyor,1.52
1774795030.7684054,-1.278,Moving on Conveyor,1.53
1774795030.7727683,-1.263,Moving on Conveyor,1.53
1774795030.777164,-1.248,Moving on Conveyor,1.54
1774795030.781535,-1.233,Moving on Conveyor,1.54
1774795030.785911,-1.218,Moving on Conveyor,1.55
1774795030.790257,-1.203,Moving on Conveyor,1.55
1774795030.7946198,-1.188,Moving on Conveyor,1.55
1774795030.7989538,-1.173,Moving on Conveyor,1.56
1774795030.803271,-1.158,Moving on Conveyor,1.56
1774795030.8076077,-1.143,Moving on Conveyor,1.57
1774795030.8119648,-1.128,Moving on Conveyor,1.57
1774795030.8162832,-1.113,Moving on Conveyor,1.58
1774795030.8206081,-1.098,Moving on Conveyor,1.58
1774795030.8249657,-1.083,Moving on Conveyor,1.59
1774795030.8292918,-1.068,Moving on Conveyor,1.59
1774795030.8336453,-1.053,Moving on Conveyor,1.59
1774795030.8379924,-1.038,Moving on Conveyor,1.6
1774795030.8423688,-1.023,Moving on Conveyor,1.6
1774795030.8467057,-1.008,Moving on Conveyor,1.61
1774795030.8510308,-0.993,Moving on Conveyor,1.61
1774795030.8553572,-0.978,Moving on Conveyor,1.62
1774795030.8597693,-0.963,Moving on Conveyor,1.62
1774795030.8641038,-0.948,Moving on Conveyor,1.62
1774795030.86844,-0.933,Moving on Conveyor,1.63
1774795030.872846,-0.918,Moving on Conveyor,1.63
1774795030.8771737,-0.903,Moving on Conveyor,1.64
1774795030.8814547,-0.888,Moving on Conveyor,1.64
1774795030.885799,-0.873,Moving on Conveyor,1.65
1774795030.8901339,-0.858,Moving on Conveyor,1.65
1774795030.8944569,-0.843,Moving on Conveyor,1.65
1774795030.8988082,-0.828,Moving on Conveyor,1.66
1774795030.903141,-0.813,Moving on Conveyor,1.66
1774795030.907466,-0.798,Moving on Conveyor,1.67
1774795030.91182,-0.783,Moving on Conveyor,1.67
1774795030.9161713,-0.768,Moving on Conveyor,1.68
1774795030.9205084,-0.753,Moving on Conveyor,1.68
1774795030.9248638,-0.738,Moving on Conveyor,1.69
1774795030.9291732,-0.723,Moving on Conveyor,1.69
1774795030.9335482,-0.708,Moving on Conveyor,1.69
1774795030.9378808,-0.693,Moving on Conveyor,1.7
1774795030.9422247,-0.678,Moving on Conveyor,1.7
1774795030.9465737,-0.663,Moving on Conveyor,1.71
1774795030.9509225,-0.648,Moving on Conveyor,1.71
1774795030.9552426,-0.633,Moving on Conveyor,1.72
1774795030.9595792,-0.618,Moving on Conveyor,1.72
1774795030.9639313,-0.603,Moving on Conveyor,1.72
1774795030.9682565,-0.588,Moving on Conveyor,1.73
1774795030.9725864,-0.573,Moving on Conveyor,1.73
1774795030.9769254,-0.558,Moving on Conveyor,1.74
1774795030.9812603,-0.543,Moving on Conveyor,1.74
1774795030.985587,-0.528,Moving on Conveyor,1.75
1774795030.9899209,-0.513,Moving on Conveyor,1.75
1774795030.9984806,-0.498,Moving on Conveyor,1.76
1774795031.002862,-0.483,Moving on Conveyor,1.76
1774795031.007185,-0.468,Moving on Conveyor,1.77
1774795031.0115387,-0.453,Moving on Conveyor,1.77
1774795031.0159383,-0.438,Moving on Conveyor,1.78
